Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,3514.89999999851,1,High,1608.10000000149
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,1023.80000000075,1,High,629
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,607.300000000745,1,High,457.400000002235
4,1,0.75,E,0,High,0,Happy,20,0,Happy,1262.80000000075,1,High,484.199999999255
5,1,0.75,E,0,High,0,Happy,0,0,Happy,437.60000000149,1,High,1356.09999999776
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,1266.5,1,High,957.89999999851
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,910.39999999851,1,High,752.199999999255
8,1,0.75,E,0,High,0,Happy,20,0,Happy,930.5,1,High,1188.89999999851
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,831.599999997765,1,High,493.5
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,520,1,High,418.699999999255
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,691.800000000745,1,High,509.800000000745
12,1,0.75,E,0,High,0,Happy,40,1,Sad,746.199999999255,1,High,503.60000000149
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,1146.69999999925,1,High,2018.80000000075
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,515.699999999255,1,High,703
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,645.199999999255,1,High,777.099999997765
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,537.10000000149,1,High,375.5
17,1,0.75,E,0,High,0,Happy,0,0,Happy,969,1,High,515.699999999255
18,1,0.75,E,0,High,0,Happy,20,0,Happy,2303.89999999851,1,High,1661.30000000075
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,616.39999999851,1,High,858.5
20,1,0.75,E,0,High,0,Happy,0,0,Happy,708,1,High,466.400000002235
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,441.800000000745,1,High,1190.80000000075
22,1,0.75,E,0,High,0,Happy,20,0,Happy,954.79999999702,1,High,421.599999997765
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,553.699999999255,1,High,441.699999999255
24,1,0.75,E,0,High,0,Happy,40,1,Sad,995.60000000149,1,High,492.79999999702
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,540.79999999702,1,High,854
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,583.800000000745,1,High,488.5
27,1,0.75,E,0,High,0,Happy,0,0,Happy,627.099999997765,1,High,887.400000002235
28,1,0.75,E,0,High,0,Happy,0,0,Happy,497.5,1,High,411.79999999702
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,399.599999997765,1,High,398.5
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,451.400000002235,1,High,337.10000000149
31,1,0.75,UE,1,Low,0,Happy,40,1,Sad,809.89999999851,1,High,414.300000000745
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,630.60000000149,1,High,427.39999999851
33,1,0.75,E,0,High,0,Happy,40,1,Sad,940.900000002235,1,High,450.699999999255
34,1,0.75,E,0,High,0,Happy,40,1,Sad,964.5,1,High,339.699999999255
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,582.699999999255,1,High,399.5
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,558.89999999851,1,High,439.89999999851
37,1,0.75,E,0,High,0,Happy,40,1,Sad,539.5,1,High,436.5
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,955,1,High,337
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,575.699999999255,1,High,382.5
40,1,0.75,E,0,High,0,Happy,40,1,Sad,495.5,1,High,376.599999997765
