Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,544,1,High,455
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,405,1,High,215
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,576,0,Low,440
4,1,0.75,E,0,High,0,Happy,20,0,Happy,394,1,High,111
5,1,0.75,E,0,High,0,Happy,0,0,Happy,249,1,High,144
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,594,1,High,305
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,666,0,Low,530
8,1,0.75,E,0,High,0,Happy,20,0,Happy,435,1,High,112
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,483,1,High,122
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,598,1,High,182
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,1395,0,Low,302
12,1,0.75,E,0,High,0,Happy,40,0,Happy,1221,0,Low,326
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,953,0,Low,456
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,553,1,High,184
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,631,1,High,394
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,472,1,High,154
17,1,0.75,E,0,High,0,Happy,0,0,Happy,405,1,High,113
18,1,0.75,E,0,High,0,Happy,20,0,Happy,542,1,High,111
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,421,1,High,167
20,1,0.75,E,0,High,0,Happy,0,0,Happy,296,1,High,134
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,484,1,High,141
22,1,0.75,E,0,High,0,Happy,20,0,Happy,484,1,High,106
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,1254,0,Low,338
24,1,0.75,E,0,High,0,Happy,40,0,Happy,426,0,Low,567
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,480,1,High,104
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,442,1,High,158
27,1,0.75,E,0,High,0,Happy,0,0,Happy,508,1,High,115
28,1,0.75,E,0,High,0,Happy,0,0,Happy,227,1,High,97
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,1229,0,Low,1423
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,638,1,High,126
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,636,0,Low,255
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,437,1,High,151
33,1,0.75,E,0,High,0,Happy,40,0,Happy,466,0,Low,720
34,1,0.75,E,0,High,0,Happy,40,0,Happy,777,0,Low,354
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,528,1,High,220
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,531,1,High,256
37,1,0.75,E,0,High,0,Happy,40,0,Happy,647,0,Low,331
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,741,1,High,263
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,1228,0,Low,459
40,1,0.75,E,0,High,0,Happy,40,0,Happy,959,0,Low,297
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,485,1,High,118
42,1,0.75,E,0,High,0,Happy,20,0,Happy,242,1,High,112
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,712,1,High,372
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,385,1,High,150
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,343,1,High,146
46,1,0.75,E,0,High,0,Happy,0,0,Happy,388,1,High,109
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,423,1,High,139
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,500,1,High,107
49,1,0.75,E,0,High,0,Happy,0,0,Happy,425,1,High,113
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,512,1,High,135
51,1,0.75,E,0,High,0,Happy,20,0,Happy,268,1,High,127
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,612,1,High,145
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,306,1,High,127
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,657,1,High,128
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,414,1,High,126
56,1,0.75,E,0,High,0,Happy,0,0,Happy,386,1,High,133
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,423,1,High,224
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,369,1,High,132
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,345,1,High,146
60,1,0.75,E,0,High,0,Happy,20,0,Happy,254,1,High,133
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,857,0,Low,336
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,348,1,High,87
63,1,0.75,E,0,High,0,Happy,20,0,Happy,704,1,High,144
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,511,1,High,609
65,1,0.75,E,0,High,0,Happy,40,0,Happy,1740,0,Low,567
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,504,1,High,62
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,365,1,High,107
68,1,0.75,E,0,High,0,Happy,40,0,Happy,1648,0,Low,275
69,1,0.75,E,0,High,0,Happy,40,0,Happy,1356,0,Low,196
70,1,0.75,E,0,High,0,Happy,0,0,Happy,517,1,High,75
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,316,1,High,94
