Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,875.5,1,High,757.400000095367
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,496.200000047684,1,High,222
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,340.400000095367,1,High,215.899999856949
4,1,0.75,E,0,High,0,Happy,20,0,Happy,366.799999952316,1,High,226.299999952316
5,1,0.75,E,0,High,0,Happy,0,0,Happy,232.900000095367,1,High,233.299999952316
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,494.399999856949,1,High,220.299999952316
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,1806.29999995232,0,Low,284.300000190735
8,1,0.75,E,0,High,0,Happy,20,0,Happy,377.099999904633,1,High,196.700000047684
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,554.699999809265,1,High,180.800000190735
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,433.700000047684,1,High,208.299999952316
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,1431.10000014305,0,Low,481.900000095367
12,1,0.75,E,0,High,0,Happy,40,0,Happy,398,1,High,185.699999809265
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,1109,0,Low,307.599999904633
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,1351.5,0,Low,683.399999856949
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,1061.20000004768,1,High,200.899999856949
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,956.900000095367,0,Low,228.900000095367
17,1,0.75,E,0,High,0,Happy,0,0,Happy,560.299999952316,1,High,198.5
18,1,0.75,E,0,High,0,Happy,20,0,Happy,277,1,High,187.900000095367
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,525.5,0,Low,279.299999952316
20,1,0.75,E,0,High,0,Happy,0,0,Happy,525.100000143051,1,High,208.400000095367
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,607.200000047684,1,High,171.5
22,1,0.75,E,0,High,0,Happy,20,0,Happy,447.799999952316,1,High,210
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,559.599999904633,0,Low,254.300000190735
24,1,0.75,E,0,High,0,Happy,40,0,Happy,483,1,High,206.299999952316
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,365.200000047684,1,High,216.5
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,527.200000047684,0,Low,248.099999904633
27,1,0.75,E,0,High,0,Happy,0,0,Happy,361.099999904633,1,High,187.699999809265
28,1,0.75,E,0,High,0,Happy,0,0,Happy,163.5,1,High,186
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,414.200000047684,1,High,200.099999904633
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,795.700000047684,1,High,192.5
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,415.699999809265,1,High,191.5
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,401.300000190735,1,High,200
33,1,0.75,E,0,High,0,Happy,40,0,Happy,384.200000047684,1,High,164
34,1,0.75,E,0,High,0,Happy,40,0,Happy,209.099999904633,1,High,187.800000190735
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,351.299999952316,1,High,194.299999952316
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,646.600000143051,1,High,177.900000095367
37,1,0.75,E,0,High,0,Happy,40,0,Happy,663.400000095367,1,High,165.700000047684
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,438.099999904633,1,High,199.100000143051
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,561.799999952316,1,High,163.600000143051
40,1,0.75,E,0,High,0,Happy,40,0,Happy,345.100000143051,1,High,169
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,543.400000095367,1,High,189.899999856949
42,1,0.75,E,0,High,0,Happy,20,0,Happy,297.099999904633,1,High,187.599999904633
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,432.5,1,High,160.5
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,441.200000047684,1,High,146.200000047684
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,892.399999856949,1,High,152.099999904633
46,1,0.75,E,0,High,0,Happy,0,0,Happy,392.700000047684,1,High,189.200000047684
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,476.700000047684,1,High,149.799999952316
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,401.699999809265,1,High,134.600000143051
49,1,0.75,E,0,High,0,Happy,0,0,Happy,371.099999904633,1,High,127.600000143051
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,896.400000095367,1,High,138.400000095367
51,1,0.75,E,0,High,0,Happy,20,0,Happy,245.900000095367,1,High,145.299999952316
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,1735.20000004768,0,Low,806.700000047684
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,495.799999952316,1,High,169.699999809265
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,472.200000047684,1,High,138
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,1874.59999990463,0,Low,476.299999952316
56,1,0.75,E,0,High,0,Happy,0,0,Happy,3593.79999995232,0,Low,485.099999904633
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,1562.5,0,Low,491.900000095367
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,728.900000095367,1,High,185.300000190735
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,580.900000095367,1,High,247.699999809265
60,1,0.75,E,0,High,0,Happy,20,0,Happy,426.099999904633,1,High,303.899999856949
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,446.200000047684,1,High,212.900000095367
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1591.90000009537,1,High,974.099999904633
63,1,0.75,E,0,High,0,Happy,20,0,Happy,614.099999904633,1,High,194.5
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,630.599999904633,1,High,507.900000095367
65,1,0.75,E,0,High,0,Happy,40,0,Happy,457.900000095367,1,High,202.799999952316
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,537,1,High,242.099999904633
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,382.400000095367,1,High,210.200000047684
68,1,0.75,E,0,High,0,Happy,40,1,Sad,902.200000047684,0,Low,249.800000190735
69,1,0.75,E,0,High,0,Happy,40,0,Happy,1411.70000004768,0,Low,220.700000047684
70,1,0.75,E,0,High,0,Happy,0,0,Happy,498.199999809265,1,High,164.200000047684
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,433.600000143051,1,High,201.900000095367
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,555.600000143051,1,High,144.399999856949
73,1,0.75,E,0,High,0,Happy,40,0,Happy,905.700000047684,0,Low,194.200000047684
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,561.399999856949,1,High,186.5
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,866,0,Low,230.299999952316
76,1,0.75,E,0,High,0,Happy,20,0,Happy,538.100000143051,1,High,196.299999952316
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,1272.20000004768,0,Low,236
78,1,0.75,E,0,High,0,Happy,0,0,Happy,446.599999904633,1,High,169.700000047684
