Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,2122.30000000028,1,High,1707.29999999981
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,1745.60000000009,1,High,795.799999999814
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,1033.59999999963,1,High,1243.70000000019
4,1,0.75,E,0,High,0,Happy,20,0,Happy,851.299999999814,1,High,851.899999999907
5,1,0.75,E,0,High,0,Happy,0,0,Happy,850.100000000093,1,High,755.399999999907
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,682.5,1,High,707
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,2921.69999999972,0,Low,843.699999999721
8,1,0.75,E,0,High,0,Happy,20,0,Happy,1430.5,1,High,658.5
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,883.100000000093,1,High,1252.20000000019
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,700.5,1,High,1059.70000000019
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,687.700000000186,1,High,482.199999999721
12,1,0.75,E,0,High,0,Happy,40,0,Happy,1083.30000000028,1,High,731.600000000093
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,1691.5,0,Low,892.5
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,782.799999999814,0,Low,610.800000000279
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,1279.39999999991,1,High,1635.60000000009
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,763.200000000186,1,High,1795.19999999972
17,1,0.75,E,0,High,0,Happy,0,0,Happy,1024.69999999972,1,High,691.100000000093
18,1,0.75,E,0,High,0,Happy,20,0,Happy,718.300000000279,1,High,837.200000000186
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,642.799999999814,1,High,836.100000000093
20,1,0.75,E,0,High,0,Happy,0,0,Happy,590.199999999721,1,High,460.700000000186
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,652.299999999814,1,High,603.5
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1699.69999999972,1,High,572.100000000093
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,1024.90000000037,0,Low,930.600000000093
24,1,0.75,E,0,High,0,Happy,40,1,Sad,945.799999999814,0,Low,1612.89999999991
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,728.700000000186,1,High,675.700000000186
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,682,1,High,459.599999999627
27,1,0.75,E,0,High,0,Happy,0,0,Happy,746.299999999814,1,High,531.799999999814
28,1,0.75,E,0,High,0,Happy,0,0,Happy,503.700000000186,1,High,572.100000000093
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,923.899999999907,1,High,803.899999999907
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,653.600000000093,1,High,506.5
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,744,1,High,564.299999999814
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,553.5,1,High,459.100000000093
33,1,0.75,E,0,High,0,Happy,40,0,Happy,626.600000000093,1,High,716.699999999721
34,1,0.75,E,0,High,0,Happy,40,0,Happy,754.800000000279,1,High,410.699999999721
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,558.200000000186,1,High,476.299999999814
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,646.300000000279,1,High,547.5
37,1,0.75,E,0,High,0,Happy,40,0,Happy,541,1,High,620.600000000093
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,721.800000000279,1,High,692.200000000186
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,930.100000000093,1,High,396.799999999814
40,1,0.75,E,0,High,0,Happy,40,0,Happy,1405.39999999991,0,Low,555.399999999907
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,871.100000000093,0,Low,962
42,1,0.75,E,0,High,0,Happy,20,0,Happy,479.600000000093,1,High,547.799999999814
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,698.5,1,High,563
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,597.099999999627,1,High,396.700000000186
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,629.299999999814,1,High,452.200000000186
46,1,0.75,E,0,High,0,Happy,0,0,Happy,942.600000000093,1,High,555
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,656.800000000279,1,High,708.700000000186
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,722.800000000279,1,High,578.899999999907
49,1,0.75,E,0,High,0,Happy,0,0,Happy,670.5,1,High,483.799999999814
50,1,0.75,E,1,Low,1,Sad,80,0,Happy,612.600000000093,0,Low,1378.60000000009
51,1,0.75,E,0,High,0,Happy,20,0,Happy,614.400000000373,1,High,635.799999999814
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,621.5,1,High,675.300000000279
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,857.700000000186,1,High,548.800000000279
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,811.099999999627,1,High,554.700000000186
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,582.399999999907,1,High,523.299999999814
56,1,0.75,E,0,High,0,Happy,0,0,Happy,685.700000000186,1,High,579.899999999907
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,1045.10000000009,1,High,836.5
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,489.5,1,High,580.200000000186
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,607.900000000373,1,High,491.200000000186
60,1,0.75,E,0,High,0,Happy,20,0,Happy,974.5,1,High,908.400000000373
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,1244.29999999981,1,High,644.100000000093
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1042.5,1,High,410.800000000279
63,1,0.75,E,0,High,0,Happy,20,0,Happy,596.100000000093,1,High,506.600000000093
64,1,0.75,E,1,Low,1,Sad,60,0,Happy,1758.59999999963,0,Low,435.899999999907
65,1,0.75,E,0,High,0,Happy,40,0,Happy,1125.10000000009,1,High,668.599999999627
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,569.399999999907,1,High,611.600000000093
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,584.700000000186,1,High,618.300000000279
68,1,0.75,E,0,High,0,Happy,40,0,Happy,895.5,1,High,1059.20000000019
69,1,0.75,E,0,High,0,Happy,40,0,Happy,619.800000000279,1,High,443.399999999907
70,1,0.75,E,0,High,0,Happy,0,0,Happy,1055.19999999972,1,High,379
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,622.100000000093,1,High,459.899999999907
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,3850.20000000019,0,Low,1099.5
73,1,0.75,E,0,High,0,Happy,40,0,Happy,664.200000000186,1,High,1347.40000000037
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,939.800000000279,1,High,844.199999999721
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,635.399999999907,1,High,436.600000000093
