Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,2699.40000000596,0,Low,579.79999999702
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,885.29999999702,0,Low,1119.39999999106
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,1632.60000000894,0,Low,247.20000000298
4,1,0.75,E,0,High,0,Happy,20,0,Happy,1279.40000000596,1,High,318.100000008941
5,1,0.75,E,0,High,0,Happy,0,0,Happy,1393.40000000596,1,High,426.600000008941
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,1190.5,1,High,355
7,1,0.75,E,1,Low,1,Sad,60,0,Happy,1710.70000000298,0,Low,215.800000011921
8,1,0.75,E,0,High,0,Happy,20,0,Happy,1078.39999999106,1,High,664.20000000298
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,968.40000000596,0,Low,275.79999999702
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,1714.69999998808,0,Low,846.29999999702
11,1,0.75,E,1,Low,1,Sad,60,0,Happy,1124.39999999106,0,Low,297.79999999702
12,1,0.75,E,0,High,0,Happy,40,0,Happy,931.40000000596,1,High,270.90000000596
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,862.5,1,High,1257.70000000298
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,1186.30000001192,0,Low,385.399999991059
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,1115.80000001192,0,Low,292.79999999702
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1353.5,1,High,442.699999988079
17,1,0.75,E,0,High,0,Happy,0,0,Happy,1409.20000000298,1,High,435
18,1,0.75,E,0,High,0,Happy,20,0,Happy,1447.69999998808,1,High,469.09999999404
19,1,0.75,E,1,Low,1,Sad,80,0,Happy,2286.09999999404,0,Low,607.899999991059
20,1,0.75,E,0,High,0,Happy,0,0,Happy,1253.5,1,High,262
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,2046.70000000298,0,Low,325.40000000596
