Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,NaN,,4000,NaN,,NaN
2,1,0.75,E,1,Low,1,Sad,100,NaN,,3999.8,NaN,,NaN
3,1,0.75,E,1,Low,1,Sad,80,NaN,,4000,NaN,,NaN
4,1,0.75,E,0,High,0,Happy,20,NaN,,4000,NaN,,NaN
5,1,0.75,E,0,High,0,Happy,0,NaN,,4000,NaN,,NaN
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,510.299999952316,1,High,3044.19999992847
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,624,1,High,878.200000047684
8,1,0.75,E,0,High,0,Happy,20,0,Happy,1330.70000004768,1,High,515
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,905.600000023842,1,High,1777.29999995232
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,1845.60000002384,0,Low,967.199999928474
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,963.800000071526,1,High,712.299999952316
12,1,0.75,E,0,High,0,Happy,40,0,Happy,671.5,1,High,867.099999904633
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,944.600000023842,1,High,849.700000047684
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,576.299999952316,0,Low,887.600000023842
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,1396.20000004768,1,High,641
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,621.100000023842,1,High,849.899999976158
17,1,0.75,E,0,High,0,Happy,0,0,Happy,879,1,High,779.600000023842
18,1,0.75,E,0,High,0,Happy,20,0,Happy,769.600000023842,1,High,783
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,574.800000071526,1,High,868.899999976158
20,1,0.75,E,0,High,0,Happy,0,0,Happy,649.600000023842,1,High,940.799999952316
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,892.799999952316,1,High,1123.5
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1214.90000009537,0,Low,1005.59999990463
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,917.100000023842,0,Low,1114.79999995232
24,1,0.75,E,0,High,0,Happy,40,0,Happy,1018.5,0,Low,824.200000047684
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,766.900000095367,1,High,732
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,530.5,1,High,727.899999976158
27,1,0.75,E,0,High,0,Happy,0,0,Happy,957.400000095367,1,High,743.799999952316
28,1,0.75,E,0,High,0,Happy,0,0,Happy,622.300000071526,1,High,710.200000047684
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,517.400000095367,1,High,666.599999904633
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,506.600000023842,1,High,612.399999976158
31,1,0.75,UE,1,Low,0,Happy,40,1,Sad,1230.70000004768,1,High,546.399999976158
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,510.100000023842,1,High,787.5
33,1,0.75,E,0,High,0,Happy,40,0,Happy,851.5,0,Low,677.199999928474
34,1,0.75,E,0,High,0,Happy,40,0,Happy,783.599999904633,0,Low,670.100000023842
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,530.700000047684,1,High,774
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,803.600000023842,0,Low,769.700000047684
37,1,0.75,E,0,High,0,Happy,40,1,Sad,969.700000047684,0,Low,640.399999976158
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,528.399999976158,1,High,716.800000071526
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,597.600000023842,1,High,537.700000047684
40,1,0.75,E,0,High,0,Happy,40,1,Sad,822.5,1,High,541.399999976158
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,545,1,High,758.200000047684
42,1,0.75,E,0,High,0,Happy,20,0,Happy,630.899999976158,1,High,632.600000023842
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,833,1,High,823.800000071526
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,468.5,1,High,569.600000023842
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,430.600000023842,1,High,620.5
46,1,0.75,E,0,High,0,Happy,0,0,Happy,589.399999976158,1,High,613.100000023842
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,526.200000047684,1,High,617.300000071526
48,1,0.75,UE,1,Low,0,Happy,20,1,Sad,1126.60000002384,0,Low,596.700000047684
49,1,0.75,E,0,High,0,Happy,0,0,Happy,801.700000047684,1,High,661.100000023842
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,506,1,High,671
51,1,0.75,E,0,High,0,Happy,20,0,Happy,617.300000071526,1,High,594.299999952316
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,484.5,1,High,634.799999952316
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,1276.79999995232,1,High,546.200000047684
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,400.899999976158,1,High,642.5
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,412.700000047684,1,High,611.700000047684
56,1,0.75,E,0,High,0,Happy,0,0,Happy,573.100000023842,1,High,578.700000047684
57,1,0.75,E,1,Low,1,Sad,100,0,Happy,891.099999904633,0,Low,1269.20000004768
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,591.799999952316,0,Low,947
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,460.199999928474,1,High,533.600000023842
60,1,0.75,E,0,High,0,Happy,20,0,Happy,727.800000071526,1,High,900.199999928474
61,1,0.75,UE,1,Low,0,Happy,40,1,Sad,1038.39999997616,0,Low,745.299999952316
62,1,0.75,UE,1,Low,0,Happy,20,1,Sad,2250.29999995232,0,Low,1547.19999992847
63,1,0.75,E,0,High,0,Happy,20,0,Happy,683.699999928474,1,High,803.899999976158
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,2097.20000004768,0,Low,1266.5
65,1,0.75,E,0,High,0,Happy,40,0,Happy,752.899999976158,0,Low,686.100000023842
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,553.5,1,High,843.800000071526
67,1,0.75,UE,1,Low,0,Happy,0,1,Sad,1058,1,High,1047.69999992847
68,1,0.75,E,0,High,0,Happy,40,1,Sad,897.200000047684,0,Low,669.199999928474
69,1,0.75,E,0,High,0,Happy,40,1,Sad,723.799999952316,0,Low,674.5
70,1,0.75,E,0,High,0,Happy,0,0,Happy,781.100000023842,1,High,604.800000071526
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,786,1,High,436.300000071526
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,529.800000071526,1,High,756
73,1,0.75,E,0,High,0,Happy,40,1,Sad,786.299999952316,0,Low,481.700000047684
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,603.600000023842,1,High,532.799999952316
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,489.599999904633,1,High,643.899999976158
76,1,0.75,E,0,High,0,Happy,20,0,Happy,710.399999976158,1,High,766.100000023842
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,1224.29999995232,1,High,604.600000023842
78,1,0.75,E,0,High,0,Happy,0,0,Happy,631.400000095367,1,High,565.099999904633
79,1,0.75,E,0,High,0,Happy,40,1,Sad,1266.59999990463,0,Low,597.700000047684
80,1,0.75,UE,0,High,1,Sad,60,1,Sad,889.100000023842,0,Low,603.599999904633
81,1,0.75,E,0,High,0,Happy,40,1,Sad,644.100000023842,0,Low,488.899999976158
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,626.600000023842,1,High,639.599999904633
83,1,0.75,E,0,High,0,Happy,0,0,Happy,674.300000071526,1,High,512.299999952316
84,1,0.75,E,0,High,0,Happy,20,0,Happy,975.200000047684,1,High,597.900000095367
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,680,0,Low,1122.30000007153
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,887.899999976158,1,High,570.800000071526
87,1,0.75,UE,1,Low,0,Happy,40,1,Sad,779.899999976158,1,High,522
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,594.700000047684,0,Low,588.5
89,1,0.75,E,0,High,0,Happy,0,0,Happy,913.600000023842,1,High,698.5
90,1,0.75,UE,0,High,1,Sad,60,1,Sad,560.100000023842,1,High,671.699999928474
91,1,0.75,E,1,Low,1,Sad,60,1,Sad,576.799999952316,1,High,623.600000023842
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,559.800000071526,1,High,718.200000047684
93,1,0.75,E,0,High,0,Happy,20,0,Happy,663,1,High,709.600000023842
94,1,0.75,E,0,High,0,Happy,20,0,Happy,493.399999976158,1,High,600.800000071526
95,1,0.75,UE,1,Low,0,Happy,40,0,Happy,1225.5,0,Low,817.800000071526
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,547.399999976158,1,High,604.700000047684
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,931.899999976158,0,Low,553.399999976158
98,2,0.25,UE,1,Low,1,Sad,80,1,Sad,544.800000071526,1,High,537.100000023842
99,2,0.25,E,1,Low,0,Happy,40,1,Sad,691,0,Low,771.200000047684
100,2,0.25,E,1,Low,0,Happy,40,0,Happy,617.800000071526,0,Low,555.599999904633
101,2,0.25,E,0,High,1,Sad,60,1,Sad,661.200000047684,0,Low,981.700000047684
102,2,0.25,E,1,Low,0,Happy,20,1,Sad,763.100000023842,0,Low,458.399999976158
103,2,0.25,E,0,High,1,Sad,80,1,Sad,1358.60000002384,1,High,475.5
104,2,0.25,UE,1,Low,1,Sad,100,1,Sad,483.799999952316,1,High,554.5
105,2,0.25,E,1,Low,0,Happy,20,0,Happy,628.300000071526,0,Low,804.799999952316
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,588,1,High,996.399999976158
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,572.199999928474,1,High,1017.89999997616
108,2,0.25,E,0,High,1,Sad,100,1,Sad,500,1,High,564.399999976158
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,742.700000047684,0,Low,776.599999904633
110,2,0.25,E,0,High,1,Sad,80,1,Sad,501,1,High,649.600000023842
111,2,0.25,E,0,High,1,Sad,60,1,Sad,526.5,1,High,627.399999976158
112,2,0.25,E,1,Low,0,Happy,0,0,Happy,646.700000047684,1,High,589
113,2,0.25,UE,0,High,0,Happy,40,0,Happy,965.600000023842,1,High,542.699999928474
114,2,0.25,E,0,High,1,Sad,80,1,Sad,424.899999976158,1,High,527.200000047684
115,2,0.25,E,0,High,1,Sad,100,1,Sad,627.899999976158,1,High,883.600000023842
116,2,0.25,E,0,High,1,Sad,60,1,Sad,579.100000023842,1,High,350.200000047684
117,2,0.25,E,1,Low,0,Happy,0,1,Sad,624.300000071526,1,High,556.600000023842
118,2,0.25,E,1,Low,0,Happy,20,0,Happy,1142.89999997616,1,High,538.600000023842
119,2,0.25,UE,0,High,0,Happy,0,0,Happy,709.600000023842,1,High,565
120,2,0.25,E,0,High,1,Sad,100,1,Sad,542.699999928474,1,High,885
121,3,0.75,E,0,High,0,Happy,0,0,Happy,592,1,High,644.699999928474
122,3,0.75,E,0,High,0,Happy,40,0,Happy,719.300000071526,1,High,679.299999952316
123,3,0.75,E,0,High,0,Happy,0,0,Happy,525.200000047684,1,High,596.5
124,3,0.75,E,1,Low,1,Sad,80,1,Sad,561.5,1,High,705.399999976158
125,3,0.75,E,1,Low,1,Sad,60,1,Sad,476.200000047684,1,High,626.700000047684
126,3,0.75,UE,0,High,1,Sad,100,1,Sad,793.5,1,High,488.800000071526
127,3,0.75,E,0,High,0,Happy,20,0,Happy,576.599999904633,0,Low,787.600000023842
128,3,0.75,E,0,High,0,Happy,40,0,Happy,645.5,0,Low,553.399999976158
129,3,0.75,UE,1,Low,0,Happy,20,0,Happy,608.299999952316,1,High,980
130,3,0.75,E,1,Low,1,Sad,100,1,Sad,569.600000023842,1,High,1248.60000002384
131,3,0.75,E,0,High,0,Happy,40,1,Sad,1290,0,Low,868.100000023842
132,3,0.75,UE,1,Low,0,Happy,40,1,Sad,1265,0,Low,685.099999904633
133,3,0.75,UE,0,High,1,Sad,60,1,Sad,570.199999928474,0,Low,563.199999928474
134,3,0.75,E,1,Low,1,Sad,80,1,Sad,1272.90000009537,0,Low,388.299999952316
135,3,0.75,E,1,Low,1,Sad,60,1,Sad,595.300000071526,1,High,773
136,3,0.75,E,1,Low,1,Sad,60,1,Sad,344.799999952316,1,High,512.200000047684
137,3,0.75,E,1,Low,1,Sad,100,1,Sad,445,1,High,376.5
138,3,0.75,UE,0,High,1,Sad,80,1,Sad,477.5,1,High,536
139,3,0.75,E,0,High,0,Happy,20,0,Happy,708.099999904633,1,High,638.300000071526
140,3,0.75,E,1,Low,1,Sad,80,1,Sad,401.5,1,High,608.600000023842
141,3,0.75,E,1,Low,1,Sad,100,1,Sad,378.299999952316,1,High,610.5
142,3,0.75,E,0,High,0,Happy,0,0,Happy,887.100000023842,1,High,728.599999904633
143,3,0.75,UE,1,Low,0,Happy,0,0,Happy,550.899999976158,1,High,698.799999952316
144,3,0.75,E,0,High,0,Happy,20,0,Happy,507,1,High,482.399999976158
145,4,0.25,E,1,Low,0,Happy,0,0,Happy,591,1,High,355.599999904633
146,4,0.25,E,1,Low,0,Happy,20,0,Happy,443.300000071526,1,High,286.899999976158
147,4,0.25,UE,1,Low,1,Sad,80,1,Sad,853.699999928474,1,High,913.5
148,4,0.25,UE,0,High,0,Happy,40,0,Happy,562.799999952316,1,High,521.399999976158
149,4,0.25,E,0,High,1,Sad,80,1,Sad,776.200000047684,1,High,877.599999904633
