Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,NaN,,3996.3,NaN,,NaN
2,1,0.75,E,1,Low,1,Sad,100,NaN,,3996.2,NaN,,NaN
3,1,0.75,E,1,Low,1,Sad,80,NaN,,3996.3,NaN,,NaN
4,1,0.75,E,0,High,0,Happy,20,NaN,,3996.2,NaN,,NaN
5,1,0.75,E,0,High,0,Happy,0,NaN,,3996.2,NaN,,NaN
6,1,0.75,UE,0,High,1,Sad,100,NaN,,3996.3,NaN,,NaN
7,1,0.75,E,1,Low,1,Sad,60,NaN,,3996.3,NaN,,NaN
8,1,0.75,E,0,High,0,Happy,20,1,Sad,1470.79999999702,1,High,2613.10000000894
9,1,0.75,UE,1,Low,0,Happy,20,NaN,,3996.2,NaN,,NaN
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,1050.89999999106,1,High,1565.09999999404
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,872,1,High,928
12,1,0.75,E,0,High,0,Happy,40,1,Sad,1994.30000001192,1,High,1266.5
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,914,1,High,850.5
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,2383.90000000596,1,High,1135.5
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,980.300000011921,1,High,1303
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,2285.90000000596,1,High,475.5
17,1,0.75,E,0,High,0,Happy,0,0,Happy,1156.39999999106,1,High,1331.70000000298
18,1,0.75,E,0,High,0,Happy,20,0,Happy,1179.20000000298,1,High,417.100000008941
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,1026.79999999702,1,High,691.79999999702
20,1,0.75,E,0,High,0,Happy,0,0,Happy,1199.89999999106,1,High,685.20000000298
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,1445.90000000596,1,High,470
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1794.59999999404,1,High,639.90000000596
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,752.79999999702,1,High,472
24,1,0.75,E,0,High,0,Happy,40,0,Happy,1655.79999999702,1,High,369
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,974.20000000298,1,High,428.29999999702
26,1,0.75,E,1,Low,1,Sad,80,0,Happy,990.59999999404,0,Low,1529.20000000298
27,1,0.75,E,0,High,0,Happy,0,0,Happy,813.59999999404,1,High,403
28,1,0.75,E,0,High,0,Happy,0,0,Happy,445.09999999404,1,High,402.79999999702
29,1,0.75,E,1,Low,1,Sad,60,0,Happy,560.5,1,High,292.5
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,775.79999999702,1,High,337.90000000596
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,989.90000000596,1,High,365
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,2284.70000000298,1,High,581.300000011921
33,1,0.75,E,0,High,0,Happy,40,0,Happy,824.29999999702,1,High,720
34,1,0.75,E,0,High,0,Happy,40,0,Happy,912.399999991059,1,High,358.29999999702
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,781.40000000596,1,High,389.59999999404
36,1,0.75,E,1,Low,1,Sad,60,0,Happy,3365,1,High,283.09999999404
37,1,0.75,E,0,High,0,Happy,40,0,Happy,1129.5,1,High,351
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,687.90000000596,1,High,424.09999999404
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,1319.90000000596,1,High,2100.40000000596
40,1,0.75,E,0,High,0,Happy,40,0,Happy,1067.29999999702,1,High,376.29999999702
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,794.20000000298,1,High,443.5
42,1,0.75,E,0,High,0,Happy,20,0,Happy,429.09999999404,1,High,509.300000011921
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,1211.40000000596,1,High,577.40000000596
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,716.899999991059,1,High,397.399999991059
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,676.399999991059,1,High,372.20000000298
46,1,0.75,E,0,High,0,Happy,0,0,Happy,682.600000008941,1,High,388
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,849.40000000596,1,High,408.90000000596
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,790.399999991059,1,High,457.90000000596
49,1,0.75,E,0,High,0,Happy,0,0,Happy,548.20000000298,1,High,398.899999991059
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,702,1,High,370.70000000298
51,1,0.75,E,0,High,0,Happy,20,0,Happy,779.399999991059,1,High,421.09999999404
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,610.90000000596,1,High,395.79999999702
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,532.899999991059,1,High,454.90000000596
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,1023.10000000894,1,High,356
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,1409.30000001192,1,High,280.40000000596
56,1,0.75,E,0,High,0,Happy,0,0,Happy,602.899999991059,1,High,428.399999991059
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,1425.39999999106,1,High,318.90000000596
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,821.40000000596,1,High,389.09999999404
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,531.70000000298,1,High,376.800000011921
60,1,0.75,E,0,High,0,Happy,20,0,Happy,964.5,1,High,354.40000000596
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,535.09999999404,1,High,379.20000000298
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1940.70000000298,1,High,530.699999988079
63,1,0.75,E,0,High,0,Happy,20,0,Happy,355.09999999404,1,High,356.399999991059
64,1,0.75,E,1,Low,1,Sad,60,0,Happy,341,1,High,292.70000000298
65,1,0.75,E,0,High,0,Happy,40,0,Happy,454.100000008941,1,High,385.90000000596
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,773.399999991059,1,High,319.5
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,922.79999999702,1,High,349
68,1,0.75,E,0,High,0,Happy,40,0,Happy,503.20000000298,1,High,358.59999999404
69,1,0.75,E,0,High,0,Happy,40,0,Happy,633.59999999404,1,High,334.5
70,1,0.75,E,0,High,0,Happy,0,0,Happy,385,1,High,511.399999991059
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,401.09999999404,1,High,348.399999991059
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,657.59999999404,1,High,311.100000008941
73,1,0.75,E,0,High,0,Happy,40,0,Happy,709.699999988079,1,High,388.59999999404
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,602.29999999702,1,High,420.20000000298
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,594,1,High,369.29999999702
76,1,0.75,E,0,High,0,Happy,20,0,Happy,657.800000011921,1,High,367.70000000298
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,1067.40000000596,1,High,2238.90000000596
78,1,0.75,E,0,High,0,Happy,0,0,Happy,3395,1,High,681.29999999702
79,1,0.75,E,0,High,0,Happy,40,0,Happy,796.29999999702,1,High,475.59999999404
80,1,0.75,UE,0,High,1,Sad,60,1,Sad,1352.69999998808,1,High,367.5
81,1,0.75,E,0,High,0,Happy,40,1,Sad,1507.29999999702,1,High,358.20000000298
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,1505.10000000894,1,High,310.70000000298
83,1,0.75,E,0,High,0,Happy,0,0,Happy,904.5,1,High,392.79999999702
84,1,0.75,E,0,High,0,Happy,20,0,Happy,1148.40000000596,1,High,399.59999999404
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,662.5,1,High,437.59999999404
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,721.40000000596,1,High,387.59999999404
87,1,0.75,UE,1,Low,0,Happy,40,0,Happy,1545,1,High,406.70000000298
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,748.800000011921,1,High,403.09999999404
89,1,0.75,E,0,High,0,Happy,0,0,Happy,935.59999999404,1,High,400.399999991059
90,1,0.75,UE,0,High,1,Sad,60,0,Happy,793.90000000596,1,High,376.79999999702
91,1,0.75,E,1,Low,1,Sad,60,0,Happy,1723.59999999404,1,High,320.40000000596
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,1156.90000000596,1,High,314.59999999404
93,1,0.75,E,0,High,0,Happy,20,0,Happy,1576.5,1,High,362.40000000596
94,1,0.75,E,0,High,0,Happy,20,0,Happy,592.5,1,High,380.90000000596
95,1,0.75,UE,1,Low,0,Happy,40,0,Happy,635.70000000298,1,High,375.70000000298
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,945.5,1,High,338.899999991059
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,731.20000000298,1,High,464.300000011921
98,2,0.25,UE,1,Low,1,Sad,80,1,Sad,1033.59999999404,1,High,418.90000000596
99,2,0.25,E,1,Low,0,Happy,40,0,Happy,1522.09999999404,1,High,378.40000000596
100,2,0.25,E,1,Low,0,Happy,40,0,Happy,687.29999999702,1,High,427.699999988079
101,2,0.25,E,0,High,1,Sad,60,1,Sad,805.79999999702,1,High,367.20000000298
102,2,0.25,E,1,Low,0,Happy,20,0,Happy,986.79999999702,1,High,415.100000008941
103,2,0.25,E,0,High,1,Sad,80,1,Sad,867.199999988079,1,High,404.699999988079
104,2,0.25,UE,1,Low,1,Sad,100,1,Sad,697.5,1,High,403.79999999702
105,2,0.25,E,1,Low,0,Happy,20,0,Happy,739.600000008941,1,High,368.09999999404
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,1076.5,1,High,421.09999999404
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,781.5,1,High,376.399999991059
108,2,0.25,E,0,High,1,Sad,100,1,Sad,710.29999999702,1,High,351.70000000298
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,767.800000011921,1,High,370.600000008941
110,2,0.25,E,0,High,1,Sad,80,1,Sad,741.699999988079,1,High,384.20000000298
111,2,0.25,E,0,High,1,Sad,60,1,Sad,1696.70000000298,1,High,286.800000011921
112,2,0.25,E,1,Low,0,Happy,0,0,Happy,592,1,High,361.5
113,2,0.25,UE,0,High,0,Happy,40,0,Happy,1246.29999999702,1,High,358.90000000596
114,2,0.25,E,0,High,1,Sad,80,1,Sad,609.20000000298,1,High,379.40000000596
115,2,0.25,E,0,High,1,Sad,100,1,Sad,915.5,1,High,357.899999991059
116,2,0.25,E,0,High,1,Sad,60,1,Sad,1455.5,1,High,387
117,2,0.25,E,1,Low,0,Happy,0,0,Happy,1019.29999999702,1,High,372.79999999702
118,2,0.25,E,1,Low,0,Happy,20,0,Happy,763.59999999404,1,High,359.300000011921
119,2,0.25,UE,0,High,0,Happy,0,0,Happy,757.70000000298,1,High,372.40000000596
120,2,0.25,E,0,High,1,Sad,100,1,Sad,2163.20000000298,1,High,284.100000008941
121,3,0.75,E,0,High,0,Happy,0,0,Happy,713,1,High,369.29999999702
122,3,0.75,E,0,High,0,Happy,40,0,Happy,1288.80000001192,1,High,338
123,3,0.75,E,0,High,0,Happy,0,0,Happy,559.300000011921,1,High,385
124,3,0.75,E,1,Low,1,Sad,80,1,Sad,749.100000008941,1,High,320.79999999702
125,3,0.75,E,1,Low,1,Sad,60,1,Sad,757.70000000298,1,High,293.40000000596
126,3,0.75,UE,0,High,1,Sad,100,1,Sad,649.70000000298,1,High,308.70000000298
127,3,0.75,E,0,High,0,Happy,20,0,Happy,1085.90000000596,1,High,356.90000000596
128,3,0.75,E,0,High,0,Happy,40,0,Happy,773.59999999404,1,High,364.40000000596
129,3,0.75,UE,1,Low,0,Happy,20,0,Happy,651.70000000298,1,High,388.70000000298
130,3,0.75,E,1,Low,1,Sad,100,1,Sad,686.399999991059,1,High,313.20000000298
131,3,0.75,E,0,High,0,Happy,40,0,Happy,2862.39999999106,1,High,548.300000011921
132,3,0.75,UE,1,Low,0,Happy,40,0,Happy,1026.59999999404,1,High,348.800000011921
133,3,0.75,UE,0,High,1,Sad,60,0,Happy,675.20000000298,1,High,346.59999999404
134,3,0.75,E,1,Low,1,Sad,80,1,Sad,746.79999999702,1,High,315.79999999702
135,3,0.75,E,1,Low,1,Sad,60,1,Sad,820.5,1,High,289.70000000298
136,3,0.75,E,1,Low,1,Sad,60,1,Sad,851.399999991059,1,High,264
137,3,0.75,E,1,Low,1,Sad,100,1,Sad,520.199999988079,1,High,263.79999999702
138,3,0.75,UE,0,High,1,Sad,80,1,Sad,1400.70000000298,1,High,208.59999999404
139,3,0.75,E,0,High,0,Happy,20,0,Happy,1021.29999999702,1,High,309.29999999702
140,3,0.75,E,1,Low,1,Sad,80,1,Sad,978.5,1,High,221.90000000596
141,3,0.75,E,1,Low,1,Sad,100,1,Sad,887.399999991059,1,High,197.399999991059
142,3,0.75,E,0,High,0,Happy,0,0,Happy,931.70000000298,1,High,308.300000011921
143,3,0.75,UE,1,Low,0,Happy,0,0,Happy,694.90000000596,1,High,302.59999999404
144,3,0.75,E,0,High,0,Happy,20,0,Happy,704.70000000298,1,High,335.399999991059
145,4,0.25,E,1,Low,0,Happy,0,0,Happy,700.79999999702,1,High,308.70000000298
146,4,0.25,E,1,Low,0,Happy,20,0,Happy,600.40000000596,1,High,287.100000008941
147,4,0.25,UE,1,Low,1,Sad,80,1,Sad,800.90000000596,1,High,247.79999999702
148,4,0.25,UE,0,High,0,Happy,40,0,Happy,617.29999999702,1,High,277
149,4,0.25,E,0,High,1,Sad,80,1,Sad,798.59999999404,1,High,192.29999999702
150,4,0.25,E,0,High,1,Sad,60,0,Happy,794.20000000298,1,High,321.300000011921
151,4,0.25,E,1,Low,0,Happy,0,0,Happy,830,1,High,266
152,4,0.25,E,0,High,1,Sad,80,1,Sad,703.899999991059,1,High,226.899999991059
153,4,0.25,E,1,Low,0,Happy,40,0,Happy,1251.59999999404,1,High,224.199999988079
154,4,0.25,E,0,High,1,Sad,100,1,Sad,1601.89999999106,1,High,339.29999999702
155,4,0.25,E,0,High,1,Sad,100,1,Sad,812.20000000298,1,High,231.29999999702
156,4,0.25,E,0,High,1,Sad,80,1,Sad,616.09999999404,1,High,226.29999999702
157,4,0.25,E,1,Low,0,Happy,20,0,Happy,705.09999999404,1,High,273
158,4,0.25,UE,0,High,0,Happy,20,0,Happy,756.70000000298,1,High,250.79999999702
159,4,0.25,E,0,High,1,Sad,60,1,Sad,1016.90000000596,1,High,227.29999999702
160,4,0.25,E,1,Low,0,Happy,40,0,Happy,822.79999999702,1,High,267.09999999404
161,4,0.25,E,1,Low,0,Happy,0,0,Happy,849.59999999404,1,High,254.70000000298
162,4,0.25,UE,1,Low,1,Sad,60,1,Sad,1004.70000000298,0,Low,2361.79999999702
