Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,0,Happy,989.39999999851,1,High,1675.19999999925
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,1091.5,0,Low,838.10000000149
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,904.89999999851,1,High,883.599999997765
4,1,0.75,E,0,High,0,Happy,20,0,Happy,811.300000000745,1,High,881.199999999255
5,1,0.75,E,0,High,0,Happy,0,0,Happy,652.89999999851,1,High,557.20000000298
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,919,1,High,813.300000000745
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,1072.80000000075,1,High,961.89999999851
8,1,0.75,E,0,High,0,Happy,20,0,Happy,670.70000000298,1,High,813
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1114.69999999925,1,High,896.099999997765
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,646.800000000745,1,High,822.900000002235
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,595.70000000298,1,High,656.79999999702
12,1,0.75,E,0,High,0,Happy,40,0,Happy,1062.80000000075,1,High,795.099999997765
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,547.300000000745,1,High,732.70000000298
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,541.39999999851,1,High,559.5
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,556.39999999851,1,High,500.199999999255
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1290.40000000224,1,High,658
17,1,0.75,E,0,High,0,Happy,0,0,Happy,824.300000000745,1,High,552.79999999702
18,1,0.75,E,0,High,0,Happy,20,0,Happy,608.29999999702,1,High,415.800000000745
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,504.5,1,High,449.699999999255
20,1,0.75,E,0,High,0,Happy,0,0,Happy,531.5,1,High,462
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,523.10000000149,1,High,347.699999999255
22,1,0.75,E,0,High,0,Happy,20,0,Happy,620.300000000745,1,High,446.699999999255
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,602.699999999255,1,High,368.89999999851
24,1,0.75,E,0,High,0,Happy,40,0,Happy,637,1,High,371.800000000745
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,486.300000000745,1,High,389.699999999255
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,672.5,1,High,346.199999999255
27,1,0.75,E,0,High,0,Happy,0,1,Sad,376,0,Low,2276.5
28,1,0.75,E,0,High,0,Happy,0,0,Happy,828.39999999851,1,High,442.699999999255
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,639.900000002235,1,High,515.599999997765
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,411.5,1,High,355.10000000149
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,511.099999997765,1,High,368.5
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,590.39999999851,1,High,429.699999999255
33,1,0.75,E,0,High,0,Happy,40,0,Happy,813,1,High,361
34,1,0.75,E,0,High,0,Happy,40,0,Happy,531.70000000298,1,High,397
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,447.199999999255,1,High,393.10000000149
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,463.10000000149,1,High,341.5
37,1,0.75,E,0,High,0,Happy,40,0,Happy,305,1,High,473.599999997765
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,623.79999999702,1,High,317.599999997765
39,1,0.75,E,1,Low,1,Sad,60,0,Happy,694.60000000149,1,High,454.39999999851
40,1,0.75,E,0,High,0,Happy,40,0,Happy,683.60000000149,1,High,327.599999997765
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,640.5,1,High,309.29999999702
42,1,0.75,E,0,High,0,Happy,20,0,Happy,372.5,1,High,324.39999999851
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,774.199999999255,1,High,532.60000000149
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,584.5,1,High,371.599999997765
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,399.300000000745,1,High,312.800000000745
46,1,0.75,E,0,High,0,Happy,0,0,Happy,397.199999999255,1,High,284.699999999255
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,637.60000000149,1,High,339.89999999851
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,705.300000000745,1,High,370.89999999851
49,1,0.75,E,0,High,0,Happy,0,0,Happy,420.099999997765,1,High,316.099999997765
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,396.699999999255,1,High,1492.40000000224
51,1,0.75,E,0,High,0,Happy,20,0,Happy,549.20000000298,1,High,417.5
52,1,0.75,UE,0,High,1,Sad,60,0,Happy,416.60000000149,1,High,332.099999997765
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,732,1,High,343.79999999702
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,825.300000000745,1,High,339.099999997765
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,461.300000000745,1,High,337.5
56,1,0.75,E,0,High,0,Happy,0,0,Happy,514.699999999255,1,High,303.60000000149
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,562.400000002235,1,High,334.300000000745
58,1,0.75,UE,0,High,1,Sad,100,0,Happy,400.5,1,High,461.800000000745
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,1745.10000000149,1,High,395.599999997765
60,1,0.75,E,0,High,0,Happy,20,0,Happy,459.800000000745,1,High,377.699999999255
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,594.800000000745,1,High,369.39999999851
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,700.60000000149,1,High,368.099999997765
63,1,0.75,E,0,High,0,Happy,20,0,Happy,587.800000000745,1,High,478.5
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,909.60000000149,0,Low,1229.19999999925
65,1,0.75,E,0,High,0,Happy,40,0,Happy,560.599999997765,1,High,420.599999997765
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,934.800000000745,1,High,731.699999999255
67,1,0.75,UE,1,Low,0,Happy,0,1,Sad,431.60000000149,0,Low,1283.60000000149
68,1,0.75,E,0,High,0,Happy,40,0,Happy,1192.40000000224,1,High,610.199999999255
69,1,0.75,E,0,High,0,Happy,40,0,Happy,461.29999999702,1,High,546
70,1,0.75,E,0,High,0,Happy,0,0,Happy,468.39999999851,1,High,380.699999999255
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,897.10000000149,1,High,477.10000000149
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,696.099999997765,1,High,563.60000000149
73,1,0.75,E,0,High,0,Happy,40,1,Sad,763.39999999851,0,Low,526.300000000745
74,1,0.75,E,1,Low,1,Sad,100,0,Happy,594.20000000298,0,Low,1239
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,516.300000000745,1,High,1397.80000000075
76,1,0.75,E,0,High,0,Happy,20,0,Happy,651.20000000298,1,High,356.5
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,830.39999999851,1,High,698.5
78,1,0.75,E,0,High,0,Happy,0,0,Happy,448.800000000745,1,High,424.400000002235
79,1,0.75,E,0,High,0,Happy,40,0,Happy,514.300000000745,1,High,395.70000000298
80,1,0.75,UE,0,High,1,Sad,60,0,Happy,449.89999999851,0,Low,825.699999999255
81,1,0.75,E,0,High,0,Happy,40,0,Happy,598.699999999255,0,Low,390.800000000745
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,605.10000000149,1,High,460.199999999255
83,1,0.75,E,0,High,0,Happy,0,0,Happy,525,1,High,400.10000000149
84,1,0.75,E,0,High,0,Happy,20,0,Happy,1048.5,0,Low,1184
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,681.400000002235,1,High,395.900000002235
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,426.900000002235,1,High,493.699999999255
87,1,0.75,UE,1,Low,0,Happy,40,0,Happy,863.70000000298,1,High,401.20000000298
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,589.10000000149,1,High,481.900000002235
89,1,0.75,E,0,High,0,Happy,0,0,Happy,491.199999999255,1,High,352.5
90,1,0.75,UE,0,High,1,Sad,60,0,Happy,629.60000000149,0,Low,809.199999999255
91,1,0.75,E,1,Low,1,Sad,60,1,Sad,559.5,1,High,401.300000000745
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,340.900000002235,1,High,307.699999999255
93,1,0.75,E,0,High,0,Happy,20,0,Happy,396.199999999255,1,High,457.70000000298
94,1,0.75,E,0,High,0,Happy,20,0,Happy,202.800000000745,1,High,335.800000000745
95,1,0.75,UE,1,Low,0,Happy,40,1,Sad,765,0,Low,997.10000000149
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,1160.89999999851,0,Low,603.10000000149
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,615.39999999851,1,High,434.39999999851
98,2,0.25,UE,1,Low,1,Sad,80,1,Sad,561.300000000745,1,High,477
99,2,0.25,E,1,Low,0,Happy,40,1,Sad,389.89999999851,1,High,533
100,2,0.25,E,1,Low,0,Happy,40,1,Sad,729.10000000149,0,Low,1052.39999999851
101,2,0.25,E,0,High,1,Sad,60,1,Sad,1197.90000000224,0,Low,928.300000000745
102,2,0.25,E,1,Low,0,Happy,20,0,Happy,501.5,1,High,423.89999999851
103,2,0.25,E,0,High,1,Sad,80,1,Sad,955.099999997765,0,Low,716.699999999255
104,2,0.25,UE,1,Low,1,Sad,100,0,Happy,566.79999999702,0,Low,842.60000000149
105,2,0.25,E,1,Low,0,Happy,20,1,Sad,502.300000000745,0,Low,1453
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,1184.69999999925,1,High,823
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,451.39999999851,1,High,1214.70000000298
108,2,0.25,E,0,High,1,Sad,100,1,Sad,794.900000002235,1,High,481.5
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,700.300000000745,1,High,371.60000000149
110,2,0.25,E,0,High,1,Sad,80,1,Sad,856,1,High,393.199999999255
111,2,0.25,E,0,High,1,Sad,60,1,Sad,513.199999999255,1,High,395
112,2,0.25,E,1,Low,0,Happy,0,0,Happy,531.699999999255,1,High,840.199999999255
113,2,0.25,UE,0,High,0,Happy,40,0,Happy,461.29999999702,1,High,432.89999999851
114,2,0.25,E,0,High,1,Sad,80,1,Sad,847.5,1,High,385.89999999851
115,2,0.25,E,0,High,1,Sad,100,1,Sad,474.699999999255,1,High,400.20000000298
116,2,0.25,E,0,High,1,Sad,60,1,Sad,711.79999999702,1,High,344.699999999255
117,2,0.25,E,1,Low,0,Happy,0,0,Happy,373.10000000149,1,High,344.60000000149
118,2,0.25,E,1,Low,0,Happy,20,0,Happy,305,1,High,380.300000000745
119,2,0.25,UE,0,High,0,Happy,0,1,Sad,217.900000002235,0,Low,1585.5
120,2,0.25,E,0,High,1,Sad,100,0,Happy,701.39999999851,1,High,1056.89999999851
121,3,0.75,E,0,High,0,Happy,0,0,Happy,568.099999997765,1,High,367
122,3,0.75,E,0,High,0,Happy,40,0,Happy,588.400000002235,1,High,467
123,3,0.75,E,0,High,0,Happy,0,0,Happy,438.300000000745,1,High,380.20000000298
124,3,0.75,E,1,Low,1,Sad,80,1,Sad,447.5,1,High,1019.80000000075
125,3,0.75,E,1,Low,1,Sad,60,1,Sad,365,1,High,406.300000000745
126,3,0.75,UE,0,High,1,Sad,100,1,Sad,571.199999999255,1,High,508.599999997765
127,3,0.75,E,0,High,0,Happy,20,0,Happy,257.900000002235,1,High,409.10000000149
128,3,0.75,E,0,High,0,Happy,40,0,Happy,148.900000002235,1,High,474.900000002235
129,3,0.75,UE,1,Low,0,Happy,20,1,Sad,985.599999997765,0,Low,839.39999999851
130,3,0.75,E,1,Low,1,Sad,100,1,Sad,512.5,0,Low,523.199999999255
131,3,0.75,E,0,High,0,Happy,40,0,Happy,536.5,1,High,328.5
132,3,0.75,UE,1,Low,0,Happy,40,0,Happy,1038.10000000149,1,High,289.5
133,3,0.75,UE,0,High,1,Sad,60,1,Sad,645.199999999255,0,Low,947
134,3,0.75,E,1,Low,1,Sad,80,0,Happy,513.199999999255,0,Low,803.800000000745
135,3,0.75,E,1,Low,1,Sad,60,1,Sad,1076.5,0,Low,419
136,3,0.75,E,1,Low,1,Sad,60,1,Sad,194.199999999255,0,Low,359.900000002235
137,3,0.75,E,1,Low,1,Sad,100,1,Sad,394.599999997765,1,High,369.39999999851
138,3,0.75,UE,0,High,1,Sad,80,0,Happy,269.300000000745,0,Low,1497.80000000075
139,3,0.75,E,0,High,0,Happy,20,0,Happy,341.5,1,High,307.900000002235
140,3,0.75,E,1,Low,1,Sad,80,1,Sad,534.400000002235,1,High,1224.09999999776
141,3,0.75,E,1,Low,1,Sad,100,1,Sad,548.39999999851,1,High,281.60000000149
142,3,0.75,E,0,High,0,Happy,0,0,Happy,398.199999999255,1,High,288.300000000745
143,3,0.75,UE,1,Low,0,Happy,0,0,Happy,450,1,High,317.800000000745
144,3,0.75,E,0,High,0,Happy,20,0,Happy,470.099999997765,1,High,305.70000000298
145,4,0.25,E,1,Low,0,Happy,0,0,Happy,357.89999999851,1,High,365.10000000149
146,4,0.25,E,1,Low,0,Happy,20,0,Happy,426.199999999255,1,High,326.099999997765
147,4,0.25,UE,1,Low,1,Sad,80,1,Sad,658.89999999851,1,High,1246.89999999851
148,4,0.25,UE,0,High,0,Happy,40,0,Happy,582.300000000745,1,High,447
149,4,0.25,E,0,High,1,Sad,80,0,Happy,137.39999999851,0,Low,1014.70000000298
150,4,0.25,E,0,High,1,Sad,60,0,Happy,581.60000000149,0,Low,1265.39999999851
151,4,0.25,E,1,Low,0,Happy,0,0,Happy,585.5,1,High,554.29999999702
152,4,0.25,E,0,High,1,Sad,80,1,Sad,305.29999999702,0,Low,470
153,4,0.25,E,1,Low,0,Happy,40,1,Sad,490,1,High,305.699999999255
154,4,0.25,E,0,High,1,Sad,100,1,Sad,455.79999999702,1,High,258.400000002235
155,4,0.25,E,0,High,1,Sad,100,1,Sad,360.800000000745,1,High,311
156,4,0.25,E,0,High,1,Sad,80,1,Sad,403.39999999851,1,High,215.20000000298
157,4,0.25,E,1,Low,0,Happy,20,0,Happy,1161.69999999925,1,High,425.70000000298
158,4,0.25,UE,0,High,0,Happy,20,1,Sad,723.89999999851,1,High,276.699999999255
159,4,0.25,E,0,High,1,Sad,60,0,Happy,323.199999999255,0,Low,733.599999997765
160,4,0.25,E,1,Low,0,Happy,40,1,Sad,801.10000000149,0,Low,1675.40000000224
161,4,0.25,E,1,Low,0,Happy,0,1,Sad,908.900000002235,0,Low,567.89999999851
162,4,0.25,UE,1,Low,1,Sad,60,1,Sad,846.5,1,High,608.10000000149
163,4,0.25,E,0,High,1,Sad,100,1,Sad,1085.30000000075,1,High,2580.30000000075
164,4,0.25,E,0,High,1,Sad,60,1,Sad,857.39999999851,1,High,271.5
165,4,0.25,UE,0,High,0,Happy,0,0,Happy,942.300000000745,1,High,334.199999999255
166,4,0.25,E,1,Low,0,Happy,40,1,Sad,1329,0,Low,1486.80000000075
167,4,0.25,E,1,Low,0,Happy,20,0,Happy,347.800000000745,1,High,472.39999999851
168,4,0.25,UE,1,Low,1,Sad,100,1,Sad,803.300000000745,1,High,454.699999999255
169,5,0.75,E,0,High,0,Happy,20,0,Happy,384.5,1,High,333.39999999851
170,5,0.75,UE,0,High,1,Sad,60,0,Happy,758.5,0,Low,512.699999999255
171,5,0.75,E,0,High,0,Happy,0,0,Happy,466.5,1,High,351.099999997765
172,5,0.75,E,0,High,0,Happy,40,0,Happy,583.300000000745,1,High,852.5
173,5,0.75,E,1,Low,1,Sad,60,1,Sad,597.900000002235,1,High,489.39999999851
174,5,0.75,E,1,Low,1,Sad,80,1,Sad,476,1,High,297.800000000745
175,5,0.75,E,1,Low,1,Sad,60,1,Sad,561,1,High,302
176,5,0.75,E,0,High,0,Happy,20,0,Happy,768,1,High,499.699999999255
177,5,0.75,E,1,Low,1,Sad,100,1,Sad,587.099999997765,1,High,349.599999997765
178,5,0.75,UE,1,Low,0,Happy,0,0,Happy,763.400000002235,1,High,299.39999999851
179,5,0.75,E,0,High,0,Happy,20,0,Happy,401.5,1,High,306.300000000745
180,5,0.75,UE,1,Low,0,Happy,40,0,Happy,398.70000000298,1,High,293.300000000745
181,5,0.75,E,1,Low,1,Sad,60,0,Happy,462.5,1,High,424.5
182,5,0.75,E,0,High,0,Happy,40,1,Sad,900.800000000745,1,High,296
183,5,0.75,E,1,Low,1,Sad,80,1,Sad,484.89999999851,1,High,390.70000000298
184,5,0.75,E,1,Low,1,Sad,80,1,Sad,514.599999997765,1,High,342.10000000149
185,5,0.75,UE,0,High,1,Sad,80,1,Sad,762.900000002235,1,High,276.400000002235
186,5,0.75,UE,0,High,1,Sad,100,1,Sad,323.800000000745,1,High,297.10000000149
187,5,0.75,E,0,High,0,Happy,0,1,Sad,320.5,0,Low,965.699999999255
188,5,0.75,E,1,Low,1,Sad,100,0,Happy,334.10000000149,0,Low,1524
189,5,0.75,UE,1,Low,0,Happy,20,0,Happy,615.5,1,High,456.60000000149
190,5,0.75,E,0,High,0,Happy,0,0,Happy,443.300000000745,1,High,327.5
191,5,0.75,E,1,Low,1,Sad,100,1,Sad,373,1,High,339.800000000745
192,5,0.75,E,0,High,0,Happy,40,0,Happy,363,1,High,284.199999999255
