ID,Group,Safe_Check_1,Safe_Check_2,Safe_Check_3,Threat_Check_1,Threat_Check_2,Threat_Check_3
10369536,A,1,1,1,1,1,1
10369701,A,1,1,1,1,1,1
10369772,A,1,1,1,1,1,1
10369779,A,1,1,1,1,1,1
10369781,A,1,1,1,1,1,1
10369795,A,1,1,1,1,1,1
10369812,A,1,1,1,1,1,1
10369815,A,1,1,1,1,1,1
10369821,A,1,1,1,1,1,1
10369833,A,1,1,1,1,1,1
10369836,A,1,1,1,1,1,1
10369838,A,1,1,1,1,1,1
10369844,A,1,1,1,1,1,1
10369854,A,1,1,1,1,1,1
10369855,A,1,1,1,1,1,1
10369881,A,1,1,1,1,1,1
10369924,A,1,1,1,1,1,1
10369935,A,1,1,1,1,1,1
10370011,A,1,1,1,1,1,1
10370042,A,1,1,1,1,1,1
10370097,A,1,1,1,1,1,1
10370100,A,1,1,1,1,1,1
10370108,A,1,1,1,1,1,1
10370132,A,1,1,1,1,1,1
10370470,A,1,1,1,1,1,1
10370626,A,1,1,1,1,1,1
10370698,A,1,1,1,1,1,1
10371655,A,1,1,1,1,1,1
10391960,A,1,1,1,1,1,1
10392073,A,1,1,1,1,1,1
10393020,A,1,1,1,1,1,1
10611650,B,1,1,1,1,1,1
10611659,B,1,1,1,1,1,1
10611671,B,1,1,1,1,1,1
10611694,B,1,1,1,1,1,1
10611707,B,1,1,1,1,1,1
10611711,B,1,1,1,1,1,1
10611718,B,1,1,1,1,1,1
10611731,B,1,1,1,1,1,1
10611749,B,1,1,1,1,1,1
10611753,B,1,1,1,1,1,1
10611777,B,1,1,1,1,1,1
10611780,B,1,1,1,1,1,1
10611794,B,1,1,1,1,1,1
10611795,B,1,1,1,1,1,1
10611796,B,1,1,1,1,1,1
10611807,B,1,1,1,1,1,1
10611808,B,1,1,1,1,1,1
10611812,B,1,1,1,1,1,1
10611825,B,1,1,1,1,1,1
10611841,B,1,1,1,1,1,1
10611848,B,1,1,1,1,1,1
10611879,B,1,1,1,1,1,1
